"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
25321,"UT78","heliport","Timpanogos Regional Hospital Heliport",40.312933,-111.714455,4735,"NA","US","US-UT","Orem","no","UT78",,"UT78",,,
25322,"UT79","small_airport","3-I Rocker Ranch Airport",40.41559982299805,-109.34400177001953,4865,"NA","US","US-UT","Jensen","no","UT79",,"UT79",,,
25323,"UT80","small_airport","Hamilton Fort Ranch Airport",37.634700775146484,-113.15899658203125,5460,"NA","US","US-UT","Cedar City","no","UT80",,"UT80",,,
25324,"UT81","heliport","Blanding Ambulance Heliport",37.63560104370117,-109.48400115966797,5900,"NA","US","US-UT","Blanding","no","UT81",,"UT81",,,
25325,"UT82","small_airport","Beryl Junction Airport",37.709999084472656,-113.64600372314453,5181,"NA","US","US-UT","Beryl","no","UT82",,"UT82",,,
25326,"UT83","small_airport","Thunder Ridge Airpark",40.263806,-110.865183,7050,"NA","US","US-UT","Fruitland","no","UT83",,"UT83",,,
25327,"UT84","heliport","Skaggs Heliport",40.68830108642578,-111.89199829101562,4289,"NA","US","US-UT","South Salt Lake City","no","UT84",,"UT84",,,
45862,"UT85","heliport","Cirque Lodge Studio Heliport",40.311547,-111.66568,4860,"NA","US","US-UT","Orem","no","UT85",,"UT85",,,
45865,"UT86","heliport","Miller Motorsports Park Heliport",40.583624,-112.383013,4403,"NA","US","US-UT","Tooele","no","UT86",,"UT86",,,
45864,"UT87","heliport","Jordan Valley Hospital Heliport",40.591144,-111.976341,4590,"NA","US","US-UT","West Jordan","no","UT87",,"UT87",,,
351328,"UT89","small_airport","Cold Water Airport",41.681612,-111.98181,4926,"NA","US","US-UT","Mendon","no","UT89",,"UT89",,,
324447,"UT90","small_airport","CAVOK Ranch Airport",41.585369,-111.9037,5155,"NA","US","US-UT","Wellsville","no","UT90",,"UT90",,,
355690,"UT92","heliport","UBMC Vernal Helipad 1",40.462114,-109.540625,5371,"NA","US","US-UT","Vernal","no","UT92",,"UT92",,,
524208,"UT95","heliport","St. Mark's Hospital Helipad",40.68644,-111.856627,4498,"NA","US","US-UT","Millcreek","no","UT95",,"UT95",,,
25328,"UT97","small_airport","Happy Canyon Airport",38.15719985961914,-110.29199981689453,4934,"NA","US","US-UT","Happy Canyon","no","UT97",,"UT97",,,
25329,"UT98","heliport","Redwood Health Center Heliport",40.72560119628906,-111.93399810791016,4258,"NA","US","US-UT","Salt Lake City","no","UT98",,"UT98",,,
25330,"UT99","small_airport","West Desert Airpark",40.243268,-112.092018,4890,"NA","US","US-UT","Fairfield","no","KUT9",,"UT9",,,"UT99, Cedar Valley"
26380,"UTAA","large_airport","Ashgabat International Airport",37.986801,58.361,692,"AS","TM","TM-S","Ashgabat","yes","UTAA","ASB",,,"https://en.wikipedia.org/wiki/Ashgabat_International_Airport","Saparmurat Turkmenbashy International Airport"
26381,"UTAK","medium_airport","Turkmenbashi International Airport",40.063301,53.007198,279,"AS","TM","TM-B","Turkmenbashi","yes","UTAK","KRW",,,"https://en.wikipedia.org/wiki/Turkmenbashi_International_Airport",
26382,"UTAM","medium_airport","Mary International Airport",37.62353,61.895668,728,"AS","TM","TM-M","Mary","yes","UTAM","MYP",,,"https://en.wikipedia.org/wiki/Mary_International_Airport",
26383,"UTAT","medium_airport","Daşoguz Airport",41.759853,59.836149,272,"AS","TM","TM-D","Daşoguz","yes","UTAT","TAZ",,,"https://en.wikipedia.org/wiki/Da%C5%9Foguz_Airport","Tashauz Airport, Dashkhovuz, Dashhowuz, Dashoguz, Dasoguz, Дашогуз"
26384,"UTAV","medium_airport","Türkmenabat International Airport",38.930662,63.563982,649,"AS","TM","TM-L","Türkmenabat","yes","UTAV","CRZ",,,"https://en.wikipedia.org/wiki/Turkmenabat_International_Airport","Turkmenabad Airport, Chardzhou Airport, Аэропорт Туркменабат, Аэропорт Туркменабад , Аэропорт Чарджоу, چهارجوی"
26385,"UTDD","medium_airport","Dushanbe Airport",38.543301,68.824997,2575,"AS","TJ","TJ-DU","Dushanbe","yes","UTDD","DYU",,,"https://en.wikipedia.org/wiki/Dushanbe_Airport",
6377,"UTDK","medium_airport","Kulob Airport",37.98809814453125,69.80500030517578,2293,"AS","TJ","TJ-KT","Kulyab","yes","UTDK","TJU",,,"https://en.wikipedia.org/wiki/Kulob_Airport",
26386,"UTDL","medium_airport","Khujand Airport",40.215401,69.694702,1450,"AS","TJ","TJ-SU","Khujand","yes","UTDL","LBD",,,"https://en.wikipedia.org/wiki/Khudzhand_Airport","Khodjend, Khodzhent, Leninabad, Khudzhand"
32556,"UTDT","medium_airport","Qurghonteppa International Airport",37.86640167236328,68.86470031738281,1473,"AS","TJ","TJ-KT","Kurgan-Tyube","yes","UTDT","KQT",,,"https://en.wikipedia.org/wiki/Qurghonteppa_International_Airport","Kurgan-Tube"
30672,"UTKA","medium_airport","Andizhan Airport",40.727699,72.293999,1515,"AS","UZ","UZ-AN","Andizhan","yes","UTFA","AZN",,,"https://en.wikipedia.org/wiki/Andizhan_Airport","UTKA, Andijan Airport"
31118,"UTKF","medium_airport","Fergana International Airport",40.358799,71.745003,1980,"AS","UZ","UZ-FA","Fergana","yes","UTFF","FEG",,,"https://en.wikipedia.org/wiki/Fergana_International_Airport","UTKF"
41794,"UTKK","small_airport","Kokand Airport",40.447183,70.989144,1357,"AS","UZ","UZ-FA","Kokand","no","UTKK","OQN",,,,"Kokand South"
32038,"UTKN","small_airport","Namangan Airport",40.9846,71.556702,1555,"AS","UZ","UZ-NG","Namangan","yes","UTFN","NMA",,,"https://en.wikipedia.org/wiki/Namangan_Airport",
32558,"UTNM","small_airport","Muynak Airport",43.753636,59.029884,177,"AS","UZ","UZ-QR","Muynak","no","UTNM","MOK",,,"https://en.wikipedia.org/wiki/Muynak_Airport",
32013,"UTNN","medium_airport","Nukus Airport",42.4884,59.623299,246,"AS","UZ","UZ-QR","Nukus","yes","UTNN","NCU",,,"https://en.m.wikipedia.org/wiki/Nukus_Airport",
32559,"UTNT","small_airport","Turtkul Airport",41.57500076293945,60.96659851074219,305,"AS","UZ","UZ-QR","Turtkul","no","UTNT",,,,,
26387,"UTNU","medium_airport","Urgench Airport",41.58430099487305,60.641700744628906,320,"AS","UZ","UZ-XO","Urgench","yes","UTNU","UGC",,,"https://en.wikipedia.org/wiki/Urgench_Airport",
32561,"UTSA","medium_airport","Navoi Airport",40.117199,65.170799,1140,"AS","UZ","UZ-NW","Navoi","yes","UTSA","NVI",,,"https://en.wikipedia.org/wiki/Navoi_International_Airport",
26388,"UTSB","medium_airport","Bukhara International Airport",39.775002,64.483299,751,"AS","UZ","UZ-BU","Bukhara","yes","UTSB","BHK",,,"https://en.wikipedia.org/wiki/Bukhara_International_Airport","Buhara Airport"
41812,"UTSH","small_airport","Shahrisabz Airport",39.068003,66.758388,1900,"AS","UZ","UZ-QA","Shahrisabz","no","UTSH",,,,,
26417,"UTSK","small_airport","Karshi Airport",38.802246,65.773068,1230,"AS","UZ","UZ-QA","Karshi","yes","UTSK","KSQ","UT1N",,"https://en.wikipedia.org/wiki/Karshi_Airport","Qarshi Airport"
26389,"UTSL","small_airport","Karshi-Khanabad Air Base",38.833599,65.921501,1365,"AS","UZ","UZ-QA","Khanabad","no","UTSL",,,,"https://en.wikipedia.org/wiki/Karshi-Khanabad_Air_Base","UTSL, K2 Air Base, Qarshi Khanabad Airport"
41821,"UTSM","small_airport","Tandy Bulak Airport",41.76079177856445,64.60240173339844,716,"AS","UZ","UZ-NW","Tandy Bulak","no","UTSM",,,,,
41685,"UTSN","small_airport","Sugraly Airport",41.613899,64.2332,1396,"AS","UZ","UZ-NW","Zarafshan","yes","UTSN","AFS",,,"https://en.wikipedia.org/wiki/Zarafshan_Airport",
41686,"UTSR","small_airport","Sariasiya Airport",38.41059875488281,67.94519805908203,1949,"AS","UZ","UZ-SU","Sariasiya","no","UTSR",,,,,
26390,"UTSS","medium_airport","Samarkand Airport",39.70050048828125,66.98380279541016,2224,"AS","UZ","UZ-SA","Samarkand","yes","UTSS","SKD",,,"https://en.wikipedia.org/wiki/Samarkand_Airport",
